player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,sacks,rushing_attempts,rushing_yards,rushing_tds,fantasy_points_half_ppr,games_played,pass_attempts_per_game,rushing_attempts_per_game,rushing_yards_per_game,ypa,completion_pct,td_pct,int_pct,dropbacks,fantasy_pts_per_dropback,rush_fantasy_contribution,position,signal_score,signal_rank,vegas_multiplier,signal_score_pre_vegas,positional_rank,replacement_signal,vbd_raw,vbd,carries,targets,receptions,receiving_yards,receiving_tds,carries_per_game,receptions_per_game,ypc,carry_share,target_share_backfield,opportunity_share,goal_line_carries,yards_after_catch,target_share,air_yards,wopr,racr,targets_per_game,yac_per_reception,adot,total_air_yards,receiving_yards_per_game,yprr_proxy,redzone_targets,endzone_targets,fg_attempts,fg_makes,fg_made_40_49,fg_att_40_49,fg_made_50p,fg_att_50p,fg_made_60p,fg_att_60p,xp_attempts,xp_makes,fg_pct,fg_pct_40_49,fg_pct_50p,fg_attempts_per_game,fumbles_recovered,turnovers,sacks_per_game,turnovers_per_game,sack_rate,turnover_rate,points_allowed_per_game,opp_epa_per_dropback_allowed,overall_rank,tier,draft_round,draft_pick,situation_score,depth_chart_role,opportunity_ceiling,is_rookie,notes,adp,adp_rank,adp_best,adp_worst,adp_sd,scrape_date,value_delta
00-0036389,Jalen Hurts,PHI,282.0,177.0,2052.0,17.0,5.0,14.0,55.0,226.0,3.0,176.68,10,28.2,5.5,22.6,7.276595744680851,0.6276595744680851,0.0602836879432624,0.0177304964539007,296.0,0.596891891891892,4.0600000000000005,QB,85.94,12,1.2480000000000002,68.86,3,61.12,24.82,22.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,57.96,58.0,27.0,104.0,12.15,2026-06-26,46.0
00-0039064,Zay Flowers,BAL,,,,,,,,,,84.0,10,,,,,,,,,,,WR,95.43,13,1.1629,82.06,4,74.13,21.30000000000001,21.3,,66.0,48.0,650.0,2.0,,,,,,,,196.0,0.2924101261057782,0.3487983849009342,0.6827740585893214,0.9516837481698388,6.6,4.083333333333333,10.348484848484848,683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,34.54,33.0,15.0,49.0,8.42,2026-06-26,20.0
00-0032764,Derrick Henry,BAL,,,,,,,,1030.0,12.0,183.6,10,,,,,,,,,,,RB,91.0,14,1.1267,80.77,7,71.82,19.180000000000007,21.1,199.0,12.0,10.0,106.0,0.0,19.9,1.0,5.175879396984925,0.7514266487707564,0.35,0.6967468631951391,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,38.94,37.0,13.0,50.0,7.82,2026-06-26,23.0
00-0036223,Jonathan Taylor,IND,,,,,,,,956.0,11.0,187.4,10,,,,,,,,,,,RB,89.77,15,0.9937,90.34,8,71.82,17.950000000000003,19.75,194.0,31.0,24.0,218.0,1.0,19.4,2.4,4.927835051546392,0.9200638875139784,0.6368253968253967,0.8724954980389763,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,11.15,10.0,7.0,23.0,3.34,2026-06-26,-5.0
00-0035676,A.J. Brown,PHI,,,,,,,,,,108.9,9,,,,,,,,,,,WR,92.82,16,1.1116,83.5,5,74.13,18.69,18.69,,76.0,53.0,729.0,6.0,,,,,,,,199.0,0.2957423143233746,0.3564933927258845,0.6931588463931813,0.7864077669902912,8.444444444444445,3.7547169811320753,12.197368421052632,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,16.83,15.0,9.0,40.0,5.87,2026-06-26,-1.0
00-0036900,Ja'Marr Chase,CIN,,,,,,,,,,103.6,9,,,,,,,,,,,WR,91.71,17,1.0774,85.12,6,74.13,17.58,17.58,,118.0,75.0,848.0,3.0,,,,,,,,400.0,0.3481634653677664,0.3578295788097356,0.7727259032184646,0.906951871657754,13.11111111111111,5.333333333333333,7.923728813559322,935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,1.69,1.0,1.0,4.0,1.1,2026-06-26,-16.0
00-0036912,DeVonta Smith,PHI,,,,,,,,,,81.5,10,,,,,,,,,,,WR,91.17,18,1.1116,82.02,7,74.13,17.040000000000006,17.04,,74.0,45.0,635.0,3.0,,,,,,,,173.0,0.2814788326198411,0.3869612106628052,0.6930910963937252,0.6684210526315789,7.4,3.844444444444445,12.83783783783784,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,,,,,,,28.31,27.0,15.0,55.0,9.0,2026-06-26,9.0
00-0038542,Bijan Robinson,ATL,,,,,,,,961.0,5.0,187.3,11,,,,,,,,,,,RB,86.83,19,0.9405,92.32,9,71.82,15.010000000000003,16.51,189.0,69.0,52.0,472.0,3.0,17.181818181818183,4.727272727272728,5.084656084656085,0.7040453721905334,0.8341269841269842,0.7341882386161384,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,,,,,,,,2.98,2.0,1.0,7.0,1.49,2026-06-26,-17.0
00-0036355,Justin Herbert,LAC,296.0,194.0,2234.0,16.0,9.0,37.0,59.0,343.0,2.0,179.66,10,29.6,5.9,34.3,7.547297297297297,0.6554054054054054,0.054054054054054,0.0304054054054054,333.0,0.5395195195195195,4.630000000000001,QB,78.88,20,1.0579999999999998,74.56,4,61.12,17.759999999999998,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,72.6,68.0,54.0,134.0,16.39,2026-06-26,48.0
HOU,HOU DST,HOU,,,,,13.0,34.0,,,,,11,,,,,,,,,,,DST,83.28,21,0.9475,87.89,1,62.14,21.14,15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19.0,3.090909090909091,1.7272727272727273,0.0876288659793814,0.0221187427240977,18.545454545454547,-0.1939816855343066,21,2,,,,,,,,,,,,,,
00-0037240,Jameson Williams,DET,,,,,,,,,,106.5,10,,,,,,,,,,,WR,89.29,22,1.1287,79.11,8,74.13,15.16000000000001,15.16,,66.0,42.0,754.0,5.0,,,,,,,,269.0,0.1930613095652101,0.3321415387982031,0.5220910415065573,0.9617346938775512,6.6,6.404761904761905,11.87878787878788,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,,,,,,,,53.06,51.0,42.0,71.0,6.66,2026-06-26,29.0
00-0033288,George Kittle,SF,,,,,,,,,,93.1,9,,,,,,,,,,,TE,95.59,23,1.031,92.72,1,81.24,14.350000000000009,15.07,,58.0,48.0,574.0,6.0,,,,,,,,233.0,0.231584966311353,,,,6.444444444444445,,,,63.77777777777778,9.89655172413793,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,23,2,,,,,,,,116.65,115.0,32.0,209.0,28.44,2026-06-26,92.0
00-0036554,Nico Collins,HOU,,,,,,,,,,107.2,10,,,,,,,,,,,WR,89.11,24,1.0945,81.42,9,74.13,14.980000000000004,14.98,,84.0,49.0,805.0,3.0,,,,,,,,224.0,0.2378689020792601,0.3486539377082499,0.6008611095146652,0.7111307420494699,8.4,4.571428571428571,13.476190476190476,1132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,,,,,,,,14.71,12.0,11.0,26.0,3.35,2026-06-26,-12.0
PHI,PHI DST,PHI,,,,,8.0,33.0,,,,,10,,,,,,,,,,,DST,81.96,25,0.938,87.38,2,62.14,19.819999999999997,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,14.0,3.3,1.4,0.0932203389830508,0.0173267326732673,15.8,-0.2047196274629526,25,2,,,,,,,,,,,,,,
00-0035700,Josh Jacobs,GB,,,,,,,,570.0,7.0,111.6,10,,,,,,,,,,,RB,85.0,26,1.0735,79.18,10,71.82,13.180000000000009,14.5,136.0,25.0,21.0,106.0,1.0,13.6,2.1,4.191176470588236,0.6732936177730229,0.5524603174603174,0.6399723168007372,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,,,,,,44.73,46.0,24.0,58.0,8.34,2026-06-26,20.0
00-0036997,Javonte Williams,DAL,,,,,,,,725.0,6.0,117.9,10,,,,,,,,,,,RB,82.97,27,0.9937,83.5,11,71.82,11.150000000000006,12.27,160.0,23.0,13.0,54.0,1.0,16.0,1.3,4.53125,0.6996239006565094,0.6666666666666666,0.6914145532135487,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,,,,,,,,46.46,48.0,21.0,61.0,7.9,2026-06-26,21.0
CLE,CLE DST,CLE,,,,,8.0,37.0,,,,,10,,,,,,,,,,,DST,78.5,28,1.052,74.62,3,62.14,16.36,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,3.7,1.2,0.1167192429022082,0.0148331273176761,21.5,-0.2744593366461854,28,2,,,,,,,,,,,,,,
00-0039067,Rashee Rice,KC,,,,,,,,,,97.1,8,,,,,,,,,,,WR,86.28,29,1.1116,77.62,10,74.13,12.150000000000006,12.15,,78.0,53.0,571.0,5.0,,,,,,,,414.0,0.2903309732573863,0.1369977045308714,0.5313948530576895,1.6893491124260356,9.75,7.811320754716981,4.333333333333333,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,,,,,,,,25.44,23.0,11.0,51.0,10.61,2026-06-26,-6.0
00-0036275,D'Andre Swift,CHI,,,,,,,,752.0,7.0,129.10000000000002,10,,,,,,,,,,,RB,82.49,30,1.0469,78.79,12,71.82,10.670000000000002,11.74,143.0,25.0,18.0,139.0,0.0,14.3,1.8,5.258741258741258,0.5527007737961085,0.6067460317460317,0.5564093091193131,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,,,,,,,,63.13,62.0,47.0,78.0,8.15,2026-06-26,32.0
00-0026498,Matthew Stafford,LA,348.0,224.0,2764.0,30.0,6.0,11.0,13.0,1.0,0.0,216.66,10,34.8,1.3,0.1,7.942528735632184,0.6436781609195402,0.0862068965517241,0.0172413793103448,359.0,0.6035097493036211,0.01,QB,73.44,31,1.4,52.46,5,61.12,12.32,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2,,,,,,,,104.31,103.0,63.0,125.0,12.46,2026-06-26,72.0
00-0031492,Jason Myers,SEA,,,,,,,,,,,10,,,,,,,,,,,K,90.12,32,1.0972,82.14,1,66.11,24.010000000000005,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,28.0,9.0,9.0,5.0,6.0,0.0,1.0,28.0,28.0,0.9333333333333332,1.0,0.8333333333333334,3.0,,,,,,,,,32,2,,,,,,,,200.49,199.0,192.0,213.0,3.43,2026-06-26,167.0
00-0039918,Caleb Williams,CHI,376.0,212.0,2551.0,16.0,4.0,13.0,48.0,274.0,1.0,197.64,11,34.18181818181818,4.363636363636363,24.90909090909091,6.784574468085107,0.5638297872340425,0.0425531914893617,0.0106382978723404,389.0,0.5080719794344474,3.036363636363637,QB,72.71,33,1.134,64.12,6,61.12,11.589999999999996,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,3,,,,,,,,70.0,64.0,30.0,108.0,16.72,2026-06-26,31.0
00-0040666,Omarion Hampton,LAC,,,,,,,,231.0,2.0,46.7,4,,,,,,,,,,,RB,81.14,34,1.0203,79.53,13,71.82,9.320000000000007,10.25,58.0,13.0,12.0,56.0,1.0,14.5,3.0,3.9827586206896552,0.6525925925925926,0.725,0.660915635932034,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3,,,,,,,,27.0,24.0,13.0,53.0,8.4,2026-06-26,-10.0
00-0040126,Colston Loveland,CHI,,,,,,,,,,86.60000000000001,11,,,,,,,,,,,TE,90.84,35,1.01675,89.34,2,81.24,9.600000000000009,10.08,,60.0,43.0,568.0,5.0,,,,,,,,203.0,0.1747566115238529,,,,5.454545454545454,,,,51.63636363636363,9.466666666666669,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,35,3,,,,,,,,39.0,38.0,22.0,97.0,15.53,2026-06-26,3.0
00-0038134,Kenneth Walker III,SEA,,,,,,,,566.0,2.0,87.10000000000001,10,,,,,,,,,,,RB,80.58,36,1.1134,72.37,14,71.82,8.760000000000005,9.64,127.0,23.0,19.0,185.0,0.0,12.7,1.9,4.456692913385827,0.5128470886787316,0.6195238095238096,0.5243938256071483,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,,,,,,,,33.33,30.0,13.0,53.0,8.93,2026-06-26,-6.0
00-0034796,Lamar Jackson,BAL,189.0,113.0,1442.0,8.0,5.0,18.0,42.0,174.0,1.0,101.08,8,23.625,5.25,21.75,7.62962962962963,0.5978835978835979,0.0423280423280423,0.0264550264550264,207.0,0.4883091787439613,2.9250000000000003,QB,71.31,37,1.362,52.36,7,61.12,10.190000000000005,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,,,,,,,,34.35,32.0,25.0,101.0,13.99,2026-06-26,-5.0
