player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,rushing_attempts,rushing_yards,rushing_tds,fantasy_points_half_ppr,sacks,games_played,pass_attempts_per_game,passing_yards_per_game,rushing_attempts_per_game,rushing_yards_per_game,fantasy_points_half_ppr_per_game,ypa,completion_pct,td_pct,int_pct,dropbacks,fantasy_pts_per_dropback,rush_fantasy_contribution,position,signal_score,signal_rank,vegas_multiplier,signal_score_pre_vegas,positional_rank,replacement_signal,vbd_raw,vbd,carries,targets,receptions,receiving_yards,receiving_tds,carries_per_game,targets_per_game,receptions_per_game,receiving_yards_per_game,ypc,yards_per_reception,catch_rate,carry_share,target_share_backfield,opportunity_share,goal_line_carries,air_yards,yards_after_catch,wopr,yac_per_reception,target_share,adot,total_air_yards,racr,ngs_separation,redzone_targets,endzone_targets,yprr_proxy,yprr_note,fg_attempts,fg_makes,fg_att_40_49,fg_made_40_49,fg_att_50p,fg_made_50p,fg_pct,fg_pct_40_49,fg_pct_50p,fg_attempts_per_game,xp_attempts,fumbles_recovered,safeties,turnovers,sacks_per_game,turnovers_per_game,sack_rate,turnover_rate,points_allowed_per_game,opp_epa_per_dropback_allowed,opponent_dvoa,overall_rank,tier
00-0036912,DeVonta Smith,PHI,,,,,,,,,133.1,,9,,,,,,,,,,,,,WR,73.4,26,1.0,73.4,26,72.51,0.8900000000000006,0.89,,57.0,44.0,530.0,6.0,,6.333333333333333,,58.888888888888886,,,0.7719298245614035,,,,,0.28295875,169.0,0.62705827,3.840909090909091,0.41362970631086576,8.385965,478.0,1.1087866,,,,,,,,,,,,,,,,,,,,,,,,,,,95,6
00-0036442,Joe Burrow,CIN,405.0,279.0,3063.0,30.0,6.0,23.0,108.0,1.0,239.32,29.0,10,40.5,306.3,2.3,10.8,23.932000732421876,7.562962962962963,0.6888888888888889,0.07407407407407407,0.014814814814814815,434.0,0.5514285883046515,1.6800000190734863,QB,63.67,10,1.0,63.67,10,62.7,0.9699999999999989,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,6
00-0035228,Kyler Murray,ARI,336.0,231.0,2423.0,9.0,9.0,45.0,289.0,4.0,165.82,19.0,10,33.6,242.3,4.5,28.9,16.582000732421875,7.211309523809524,0.6875,0.026785714285714284,0.026785714285714284,355.0,0.4670986121808979,5.289999961853027,QB,63.42,11,1.0,63.42,11,62.7,0.7199999999999989,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,6
00-0033040,Tyreek Hill,MIA,,,,,,,,,153.5,,11,,,,,,,,,,,,,WR,73.11,27,1.0,73.11,27,72.51,0.5999999999999943,0.6,,80.0,56.0,653.0,5.0,,7.2727272727272725,,59.36363636363637,,,0.7,,,,,0.40841535,154.0,0.6024483,2.75,0.43298453352632915,10.8625,869.0,0.75143844,,,,,,,,,,,,,,,,,,,,,,,,,,,98,6
00-0039363,Isaac Guerendo,SF,,,,,,,275.0,4.0,81.7,,7,,,,39.285714285714285,,,,,,,,,RB,67.92,27,1.0,67.92,27,67.42,0.5,0.55,60.0,16.0,15.0,152.0,0.0,8.571428571428571,2.2857142857142856,2.142857142857143,21.714285714285715,4.583333333333333,10.133333333333333,0.9375,0.5087662337662338,0.6071428571428571,0.5224392010106296,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,6
MIN,MIN DST,MIN,,,,,11.0,,,,,27.0,11,,,,,,,,,,,,,DST,61.29,11,1.0,61.29,11,60.84,0.44999999999999574,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,17.0,2.4545454545454546,1.5454545454545454,0.06666666666666667,0.018743109151047408,20.454546,0.04243723080482012,,100,6
00-0031492,J.Myers,SEA,,,,,,,,,,,9,,,,,,,,,,,,,K,58.17,12,1.0,58.17,12,58.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,16.0,4.0,4.0,7.0,6.0,0.9411764705882353,1.0,0.8571428571428571,1.8888888888888888,22.0,,,,,,,,,,,101,7
ARI,ARI DST,ARI,,,,,2.0,,,,,28.0,10,,,,,,,,,,,,,DST,60.84,12,1.0,60.84,12,60.84,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,5.0,2.8,0.5,0.07909604519774012,0.00646830530401035,19.2,0.004984079781225172,,102,7
00-0037261,Khalil Shakir,BUF,,,,,,,,,125.4,,10,,,,,,,,,,,,,WR,72.51,28,1.0,72.51,28,72.51,0.0,0.0,,79.0,56.0,572.0,2.0,,7.9,,57.2,,,0.7088607594936709,,,,,0.1701869,447.0,0.5041698,7.982142857142857,0.4448382436195236,5.556962,439.0,1.3029612,,,,,,,,,,,,,,,,,,,,,,,,,,,103,7
00-0033699,Austin Ekeler,WAS,,,,,,,184.0,3.0,69.2,,6,,,,30.666666666666668,,,,,,,,,RB,67.42,28,1.0,67.42,28,67.42,0.0,0.0,46.0,23.0,18.0,148.0,0.0,7.666666666666667,3.8333333333333335,3.0,24.666666666666668,4.0,8.222222222222221,0.782608695652174,0.3568511271785602,0.8280303030303031,0.43820075757575755,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,7
